sentence,meaning_labels,dim1,dim2
"This may manifest itself as a diffuse ache in the wrist upon activity, and can persist for many months.
",0.0,-5.7694097,-1.3616862
"Animal studies have shown that MSF-induced inhibition of AChE is highly selective for the brain when it is studied in vivo.
",1.0,1.325853,8.23761
"Inhibition of AChE results in an immediate accumulation of free unbound ACh at the ending of all cholinergic nerves, which leads to overstimulation of the nervous system.
",1.0,1.5739757,8.668474
"She wasn't interested in the gymnastics work, as the exercises made her ""ache all over"".
",0.0,-5.1528435,-1.0563731
"Ache is a You've Got Foetus on Your Breath album first released in 1982 on Self Immolation Records.
",1.0,2.6680806,1.9468845
"Side effects may include stomach ache, vertigo, pale skin, flatulence, headache, or tremor.
",0.0,-5.704083,-1.4268179
"The cirque between the north face of the Steinbergstein, the ""Ramkarkopf"" (2,063 m) and the ""Steinberg"" (1,886 m), which is rich in springs, forms the ""Steinberggraben"" stream that empties into the Windauer Ache river.
",2.0,5.9564877,-2.0854237
"By 1570, his son Ache had succeeded to the position himself, and had come to be known as ""Rajah Matanda"" (lit.
",3.0,3.55225,-2.2800333
"It describes 131 plants, giving a multitude of prescriptions for maladies, ranging from madness, paralysis, dysentery, fertility, stomach ache and ulcers, to antidotes for various poisons.
",0.0,-5.5604005,-1.0746515
"Steve Hochman of the ""Los Angeles Times"" stated that Olson and Gary Louris ""achieve a yearning ache that would have done top Burrito Gram Parsons proud"".
",0.0,-4.196379,-0.5512269
"Other stage performances include David Schulner's ""An Infinite Ache"" in New Haven, Connecticut and as part of ""Shinsai: Theaters for Japan"", a benefit production performing ""Four Black Dragons"" and ""Next"" from ""Pacific Overtures"" by Stephen Sondheim and John Weidman.
",3.0,3.9686918,-2.871638
"There is little published data on adverse effects; in one study of a combination drug of benfotiamine, pyridoxine, and cyanocobalamin, around 8% of people taking the drug experienced nausea, dizziness, stomach ache and weight gain, all of which are strongly associated with the common, normal aging process.
",0.0,-5.7217336,-1.4789538
"Reflecting on Bob Dylan's influence, Cardiff says """"I had the same relationship with Bob Dylan's songs that I think everyone does with a favourite artist – I tried to crack the code about what he was writing about, while sitting in the middle of their tangle and ache and joy.
",0.0,-4.6465755,-1.0060644
"It's an exit that does justice to both the actor and the role, and it leaves an ache in the movie.""
",0.0,-4.755625,-0.9705229
"Ache Records is an independent record label based in Vancouver, British Columbia, Canada.
",1.0,3.385121,1.8210381
"A cholinergic crisis is an over-stimulation at a neuromuscular junction due to an excess of acetylcholine (ACh), as a result of the inactivity of the AChE enzyme, which normally breaks down acetylcholine.
",1.0,1.7889088,8.7406
"The Ötztaler Ache is a river in the district of Imst, Tyrol, Austria, a right tributary of the Inn.
",2.0,6.1472206,-2.0353324
"He also has composed songs for different film soundtracks such as ""Hridoyer Kotha"", ""Akash Chhoa Bhalobasa"", ""Chandragrohon"", ""I Love You"", ""Eito Prem"", ""Third Person Singular Number"", ""Amar Ache Jol"", and many others.
",3.0,4.213035,-3.2602246
"She finds her father having dinner with his new girlfriend, Christine, and lies to him about having a stomach ache.
",0.0,-5.3963394,-1.5990846
"Ache () is a Loloish language spoken by the Yi people of south-central Yunnan, China.
",1.0,3.3065672,1.9473478
"It then continues along the Konstanzer Ache and the Großer Alpsee lake to Immenstadt and onwards through the villages of Rettenberg, Wertach, Nesselwang to Pfronten-Ried.
",2.0,5.737158,-2.0630078
"Patients may report a dull, radiating ache over the eye and eyebrow.
",0.0,-5.6370916,-1.3962712
"Anticonvulsants are used to control the seizures and oximes are used to reactivate the inhibited AChE.
",1.0,1.2964289,8.106644
"Despite its similar chemical structure to the banned nerve agents, the long alkyl chain of IDFP causes it to fall outside the definition of ""toxic chemicals"" under the Chemical Weapons Convention, and since it also does not exhibit the potent AChE inhibition of related organophosphorus compounds, IDFP is not subject to the same stringent legal controls.
",1.0,1.0008416,8.589768
"Carbamates are effective insecticides because of their ability to inhibit acetylcholinesterase (AChE) in the nervous system.
",1.0,1.9124321,8.68327
"In folk medicine in Honduras the boiled root is used to cure diarrhea, dysentery, and stomach ache.
",0.0,-5.6799173,-0.7684269
"The mothers believed that gripe water helps in digestion and prevents stomach ache.
",0.0,-5.6410303,-1.0764654
"In a study on a patient with AChE deficiency, doctors noted that he had developed severe proximal and truncal muscle weakness with jittering in other muscles.
",1.0,1.2881793,8.173496
"They make ones eyes ache, they worry one as to how the result could ever have been obtained, and after the first astonishment one must ever feel that the same work of art on a scale large enough for a cathedral could have been carved with half the labor.
",0.0,-5.4935904,-1.8124305
"He was sent off as the third parimutuel betting choice in the Kentucky Derby behind favorite Tompion and second choice, Bally Ache.
",3.0,3.5189638,-2.4258125
"According to them, Gifre should not eat any cookies at all since it is better than the alternative leading to a stomach ache.
",0.0,-5.6400642,-1.5745566
"The structure and mechanism of action of AChE have been elucidated from the crystal structure of the enzyme.
",1.0,1.7495067,8.599994
"Somanase also hydrolyses the methyl group of soman resulting in the formation of pinacolyl methylphosphonic acid (PMPA), which is a less potent AChE inhibitor.
",1.0,0.9111992,8.532156
"They were robust, but many drummers complained of wrist and elbow ache.
",0.0,-5.6508656,-0.7633331
"The Ötztaler Ache flows through the Ötztal valley, a southern branch the Inntal.
",2.0,5.5602264,-2.1724265
"The Leoganger Ache is a river of Salzburg, Austria, a left tributary of the Saalach.
",2.0,5.7106147,-1.9409367
"In the Preakness Stakes, he ran 2nd to Bally Ache whom he had beaten in the Leonard Richards Stakes while setting a new Delaware Park track record.
",3.0,3.5356305,-2.2989497
"The waters of the Großarler Ache, a mountain stream, formed the gorge over thousands of years.
",2.0,5.617582,-2.2475533
"He summarised: ""...it's the stinging ache in tracks such as ""Face Me and Smile,"" a tale of infidelity, that linger after the album has finished spinning.""
",0.0,-5.0393705,-1.0614752
"The Academy Film Archive preserved ""Dummy Ache"" in 2013.
",3.0,3.9160264,-2.9647331
"Analogously, Rajah Ache was also referred to as Rajah Matanda (Old Rajah), while Rajah Sulayman was sometimes referred to as Rajah Muda or Rajamora (Young Rajah).
",3.0,3.9346268,-2.3326914
"Dorothy Hill noted the blues sound of the album and the ""ache"" in James' voice.
",0.0,-4.2624154,-0.68039626
"Lyrically, the album deals with ""introspection, feelings of alienation, ennui, boredom, all with that vague, dull ache"", and ""conjures with tropes and social signifiers"" common in modern hip-hop to make a feeling instead of an actual narrative, making it up to the listener to come up with their own narrative.
",0.0,-5.217974,-0.923806
"Berchtesgadener Ache is a river of Bavaria, Germany and of Salzburg, Austria.
",2.0,6.453161,-1.8975202
"What makes ACHE Crawler unique from other crawlers is that other crawlers are focused crawlers that gather Web pages that have specific properties or keywords.
",1.0,1.6458569,4.957849
"According to Aganduru Moriz' account, Ache's father, whose name Aganduru Moriz' did not mention, died when he was still very young, and his mother took his place as leader of the Maynila settlement.
",3.0,4.52792,-2.4835982
"A congenital abnormality caused by a deficiency in end-plate acetylcholine esterase (AChE) might be a pathophysiologic mechanism for myasthenic gravis.
",1.0,1.714007,8.579268
"Life is busy on the Rudd farm: Dave keeps inventing things, Joe has a tooth ache, Billy Ryan wants to marry Sarah Rudd but Dad is feuding with Billy's father, Old Man Ryan, who wants to buy Dad's bottom paddock.
",0.0,-5.259173,-0.90345436
"One guideline recommends memantine or an AChE inhibitor be considered in people in the early-to-mid stage of dementia.
",1.0,1.0489211,8.4801035
"In the meantime, Rajah Matanda, then simply known as the ""Young Prince"" Ache, was raised alongside his cousin, who was ruler of Tondo - presumed by some to be a young Bunao Lakandula, although not specifically named in the Spanish accounts.
",3.0,4.4967494,-2.49557
"Some people drink it hot as a remedy for stomach ache.
",0.0,-5.754956,-1.1229054
"Carbamates, esters of N-methyl carbamic acid, are AChE inhibitors that hydrolyze in hours and have been used for medical purposes (e.g., physostigmine for the treatment of glaucoma).
",1.0,0.9978151,8.576007
"The ""Tulsa World"" wrote that Trynin ""can wax nostalgic and ache with regret at the same time ('Writing Notes') or walk calmly and cooly right out of your life, leaving you with the check ('I Don't Need You')—all without a single moment of ranting.""
",0.0,-4.806284,-1.0055003
"To prove the sting of a Yiddish insult, one survivor says, “May all your teeth fall out, and may one remain as a tooth ache.”
",0.0,-4.3682966,-0.72522795
"Later in the year 2007, the same songs were again released in the album named ""Krishna Bina Ache Ke"", but under different titles.
",3.0,4.018273,-3.0441833
"Rajah Matanda, then simply known as the ""Young Prince"" Ache, was raised alongside his cousin, who was ruler of Tondo – presumed by some to be a young Bunao Lakandula, although not specifically named in the accounts.
",3.0,4.4883237,-2.5194516
"The non-specific effects should not be confused with the side effects of vaccines (such as local reactions at the site of vaccination or general reactions such as fever, head ache or rash, which usually resolve within days to weeks – or in rare cases anaphylaxis).
",0.0,-5.672768,-0.7675147
"Common tormentil, ""P. erecta"", was known as ""tormentilla"" in medieval Latin, derived from early Spanish – literally ""a little torment"", meaning pain that, while not debilitating, is unpleasant and persistent (such as a stomach ache, against which ""P. erecta"" was used).
",0.0,-5.3701916,-1.0677723
"Ache releases music for both Canadian and foreign acts.
",1.0,2.4223216,1.5490057
"Porky checks in with a stomach ache, caused by overeating at his birthday party.
",0.0,-5.3996234,-1.6514418
"""In 1966, Seely's 'Don't Touch Me' took country women's sexuality from the honky-tonk into the bedroom even though it didn't end up there, and the on-again-off-again ache in her voice retained its savor afterwards,"" he wrote.
",0.0,-5.1398854,-0.9565094
"He had been restricted by a left side ache and high blood sugar levels, and sat out the regional tour in April due to a fractured rib.
",0.0,-5.7487545,-0.7217609
"Due to both AChE and BuChE being the main targets of organophosphates, their measurement is widely used as an indication of an exposure to an OP.
",1.0,1.5919617,8.705088
"Königsseer Ache is a river of Bavaria, Germany.
",2.0,6.3579707,-1.9866626
"Its name likely derives from the CHamoru word ""puti"", meaning to hurt or ache.
",0.0,-4.280961,-0.5803788
"Bally Ache then won by four lengths in the 84th running of the Preakness Stakes.
",3.0,3.5326402,-2.308941
"Other unclassified Loloish languages are Gokhy (Gɔkhý), Lopi and Ache.
",3.0,4.0442047,-2.3581235
"Betsy Sharkey of the ""Los Angeles Times"" felt she played the role ""with a white trash verve"" and found her character's ""raw ache for that someone with money and respectability is palpable.""
",0.0,-4.637754,-0.96942574
"They always ache.
",0.0,-4.69536,-0.9848836
"They reported that only 5% of LD50 inhibited AChE in rats, resulting in acute toxic effects.
",1.0,1.2701938,8.182301
"An example of a herbal medicine derived from local flora, is a treatment for ear ache made out of a pandanus (pandanus tectorius) tree's root.
",0.0,-5.6379027,-0.71944815
"The study started with hyperzine A, tacrine, and 2,6-dimethoxyphenyl-N-butylcarbamate, which are all inhibitors of AChE.
",1.0,1.0697451,8.545679
"Acute infection may appear as an acute gastritis with abdominal pain (stomach ache) or nausea.
",0.0,-5.2896447,-1.0017747
